heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
blnm_monotona_randomizada,30,20,1,0.1099,1363,95,0.1
blnm_monotona_randomizada,30,20,1,0.0817,1079,95,0.2
blnm_monotona_randomizada,30,20,1,0.0684,1021,95,0.3
blnm_monotona_randomizada,30,20,1,0.0605,1087,95,0.4
blnm_monotona_randomizada,30,20,1,0.0942,2007,95,0.5
blnm_monotona_randomizada,30,20,1,0.0802,2239,95,0.6
blnm_monotona_randomizada,30,20,1,0.0466,1697,101,0.7
blnm_monotona_randomizada,30,20,1,0.0360,1882,115,0.8
blnm_monotona_randomizada,30,20,1,0.0143,1400,117,0.9
blnm_monotona_randomizada,30,20,2,0.0871,1041,92,0.1
blnm_monotona_randomizada,30,20,2,0.0748,1006,92,0.2
blnm_monotona_randomizada,30,20,2,0.0699,1079,92,0.3
blnm_monotona_randomizada,30,20,2,0.0621,1077,92,0.4
blnm_monotona_randomizada,30,20,2,0.0516,1086,92,0.5
blnm_monotona_randomizada,30,20,2,0.0384,1053,92,0.6
blnm_monotona_randomizada,30,20,2,0.0325,1089,92,0.7
blnm_monotona_randomizada,30,20,2,0.0269,1430,92,0.8
blnm_monotona_randomizada,30,20,2,0.0142,1320,99,0.9
blnm_monotona_randomizada,30,20,3,0.0826,1019,100,0.1
blnm_monotona_randomizada,30,20,3,0.0806,1080,100,0.2
blnm_monotona_randomizada,30,20,3,0.0749,1137,100,0.3
blnm_monotona_randomizada,30,20,3,0.0639,1160,100,0.4
blnm_monotona_randomizada,30,20,3,0.0592,1282,100,0.5
blnm_monotona_randomizada,30,20,3,0.0409,1087,100,0.6
blnm_monotona_randomizada,30,20,3,0.0366,1247,100,0.7
blnm_monotona_randomizada,30,20,3,0.0323,1665,110,0.8
blnm_monotona_randomizada,30,20,3,0.0131,1287,130,0.9
blnm_monotona_randomizada,30,20,4,0.0819,1008,92,0.1
blnm_monotona_randomizada,30,20,4,0.0805,1130,92,0.2
blnm_monotona_randomizada,30,20,4,0.0638,1013,92,0.3
blnm_monotona_randomizada,30,20,4,0.0547,1012,92,0.4
blnm_monotona_randomizada,30,20,4,0.0461,1019,92,0.5
blnm_monotona_randomizada,30,20,4,0.0365,1031,92,0.6
blnm_monotona_randomizada,30,20,4,0.0297,1109,92,0.7
blnm_monotona_randomizada,30,20,4,0.0217,1199,92,0.8
blnm_monotona_randomizada,30,20,4,0.0162,1559,92,0.9
blnm_monotona_randomizada,30,20,5,0.0911,1128,98,0.1
blnm_monotona_randomizada,30,20,5,0.0792,1104,98,0.2
blnm_monotona_randomizada,30,20,5,0.0644,1012,98,0.3
blnm_monotona_randomizada,30,20,5,0.0779,1442,98,0.4
blnm_monotona_randomizada,30,20,5,0.0471,1081,98,0.5
blnm_monotona_randomizada,30,20,5,0.0399,1048,98,0.6
blnm_monotona_randomizada,30,20,5,0.0806,2849,98,0.7
blnm_monotona_randomizada,30,20,5,0.0280,1640,102,0.8
blnm_monotona_randomizada,30,20,5,0.0149,1279,117,0.9
blnm_monotona_randomizada,30,20,6,0.1986,2459,100,0.1
blnm_monotona_randomizada,30,20,6,0.1358,1872,99,0.2
blnm_monotona_randomizada,30,20,6,0.1027,1590,100,0.3
blnm_monotona_randomizada,30,20,6,0.0871,1609,99,0.4
blnm_monotona_randomizada,30,20,6,0.0648,1327,104,0.5
